,F.C.L.a._left.surface_native,F.C.L.a._right.surface_native,F.C.L.p._left.surface_native,F.C.L.p._right.surface_native,F.C.L.r.ant._left.surface_native,F.C.L.r.ant._right.surface_native,F.C.L.r.asc._left.surface_native,F.C.L.r.asc._right.surface_native,F.C.L.r.diag._left.surface_native,F.C.L.r.diag._right.surface_native,F.C.L.r.retroC.tr._left.surface_native,F.C.L.r.retroC.tr._right.surface_native,F.C.L.r.sc.ant._left.surface_native,F.C.L.r.sc.ant._right.surface_native,F.C.L.r.sc.post._left.surface_native,F.C.L.r.sc.post._right.surface_native,F.C.M.ant._left.surface_native,F.C.M.ant._right.surface_native,F.C.M.post._left.surface_native,F.C.M.post._right.surface_native,F.Cal.ant..Sc.Cal._left.surface_native,F.Cal.ant..Sc.Cal._right.surface_native,F.Coll._left.surface_native,F.Coll._right.surface_native,F.I.P.Po.C.inf._left.surface_native,F.I.P.Po.C.inf._right.surface_native,F.I.P._left.surface_native,F.I.P._right.surface_native,F.I.P.r.int.1_left.surface_native,F.I.P.r.int.1_right.surface_native,F.I.P.r.int.2_left.surface_native,F.I.P.r.int.2_right.surface_native,F.P.O._left.surface_native,F.P.O._right.surface_native,INSULA_left.surface_native,INSULA_right.surface_native,OCCIPITAL_left.surface_native,OCCIPITAL_right.surface_native,S.C.LPC._left.surface_native,S.C.LPC._right.surface_native,S.C._left.surface_native,S.C._right.surface_native,S.C.sylvian._left.surface_native,S.C.sylvian._right.surface_native,S.Call._left.surface_native,S.Call._right.surface_native,S.Cu._left.surface_native,S.Cu._right.surface_native,S.F.inf._left.surface_native,S.F.inf._right.surface_native,S.F.inf.ant._left.surface_native,S.F.inf.ant._right.surface_native,S.F.int._left.surface_native,S.F.int._right.surface_native,S.F.inter._left.surface_native,S.F.inter._right.surface_native,S.F.marginal._left.surface_native,S.F.marginal._right.surface_native,S.F.median._left.surface_native,S.F.median._right.surface_native,S.F.orbitaire._left.surface_native,S.F.orbitaire._right.surface_native,S.F.polaire.tr._left.surface_native,S.F.polaire.tr._right.surface_native,S.F.sup._left.surface_native,S.F.sup._right.surface_native,S.GSM._left.surface_native,S.Li.ant._left.surface_native,S.Li.ant._right.surface_native,S.Li.post._left.surface_native,S.Li.post._right.surface_native,S.O.T.lat.ant._left.surface_native,S.O.T.lat.ant._right.surface_native,S.O.T.lat.int._left.surface_native,S.O.T.lat.int._right.surface_native,S.O.T.lat.med._left.surface_native,S.O.T.lat.med._right.surface_native,S.O.T.lat.post._left.surface_native,S.O.T.lat.post._right.surface_native,S.O.p._left.surface_native,S.O.p._right.surface_native,S.Olf._left.surface_native,S.Olf._right.surface_native,S.Or._left.surface_native,S.Or._right.surface_native,S.Pa.int._left.surface_native,S.Pa.int._right.surface_native,S.Pa.sup._left.surface_native,S.Pa.sup._right.surface_native,S.Pa.t._left.surface_native,S.Pa.t._right.surface_native,S.Pe.C.inf._left.surface_native,S.Pe.C.inf._right.surface_native,S.Pe.C.inter._left.surface_native,S.Pe.C.inter._right.surface_native,S.Pe.C.marginal._left.surface_native,S.Pe.C.marginal._right.surface_native,S.Pe.C.median._left.surface_native,S.Pe.C.median._right.surface_native,S.Pe.C.sup._left.surface_native,S.Pe.C.sup._right.surface_native,S.Po.C.sup._left.surface_native,S.Po.C.sup._right.surface_native,S.R.inf._left.surface_native,S.R.inf._right.surface_native,S.Rh._left.surface_native,S.Rh._right.surface_native,S.T.i.ant._left.surface_native,S.T.i.ant._right.surface_native,S.T.i.post._left.surface_native,S.T.i.post._right.surface_native,S.T.pol._left.surface_native,S.T.pol._right.surface_native,S.T.s._left.surface_native,S.T.s._right.surface_native,S.T.s.ter.asc.ant._left.surface_native,S.T.s.ter.asc.ant._right.surface_native,S.T.s.ter.asc.post._left.surface_native,S.T.s.ter.asc.post._right.surface_native,S.p.C._left.surface_native,S.p.C._right.surface_native,S.s.P._left.surface_native,S.s.P._right.surface_native
S.O.T.lat.post._right.surface_native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S.O.p._left.surface_native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S.O.p._right.surface_native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S.Olf._left.surface_native,0,0,0,0.804161,0,0.04991,0,0.997611,0,0,0,0.77543,0,0,0,0,0,0.658082,0,0,0,0,0,0,0.999527,0,0.897317,0,0,0,0,0,0,0.980925,0,0,0,0,0.836808,0,0,0,0.853707,0.684647,0,0,0,0,0.963916,0,0,0,0.658534,0.83504,0.905214,0,0,0,0,0,0,0,0,0,0,0,0.895182,0.524498,0,0,0,0,0.989136,0.507694,0,0,0,0.994713,0,0,0,0,0,0.727728,0.999986,0,0,0,0,0,0.360233,0.996839,0,0,0,0,0,0,0.131788,0.990152,0,0.757233,0.892408,0,0,0,0,0.716569,0.905525,0,0.999155,0,0.899089,0,0.748748,0,0,0,0,0,0.990286,0,0
S.Olf._right.surface_native,0,0,0,0,0,0,0,0,0,0,0,0.806905,0,0,0,0,0,0.856801,0,0,0,0,0,0,0,0.89884,0.860917,0,0,0,0,0.969457,0,0,0,0,0,0.989785,0,0,0.98,0.761226,0.759054,0,0,0.488176,0,0,0.8577,0,0,0,0,0,0.883269,0,0,0,0,0.922954,0,0,0,0,0,0,0.986658,0,0,0,0,0.959697,0,0,0,0,0,0,0,0,0,0,0,0.949184,0,0,0,0.948715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.632587,0,0,0.960593,0,0,0.896934,0.884355,0,0,0,0,0,0,0.989361,0.827143
S.Or._left.surface_native,0,0,0,0,0,0.89958,0,0,0,0,0,0,0,0,0,0,0,0.577206,0,0,0,0,0,0,0,0.950195,0.893523,0.901586,0.810695,0,0,0,0,0.808839,0,0,0,0,0.980116,0,0,0.930573,0,0,0,0.902513,0,0,0.866745,0,0,0,0.69773,0,0,0,0,0,0,0.888652,0,0,0,0,0,0,0.746546,0,0,0,0,0.865822,0,0.981126,0,0,0,0.696981,0,0,0,0.727728,0.949184,0,0,0,0,0.97152,0,0,0,0.624077,0,0,0,0,0,0,0.929167,0.975026,0,0.782481,0,0.723058,0,0,0,0.977879,0,0,0.0540847,0,0.98,0.976815,0,0,0,0,0.811877,0,0,0,0
S.Or._right.surface_native,0,0,0,0.999964,0,0,0,0,0,0,0,0.947353,0,0,0,0,0,0.974109,0,0,0,0,0.973507,0.974831,0,0,0.99887,0.844218,0.727162,0,0,0.998674,0,0.831305,0,0,0,0.957234,0.0915691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.981981,0,0,0,0,0,0,0.787511,0,0.98,0,0,0,0,0.737383,0,0,0,0,0.912765,0,0,0,0.999986,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7576,0,0.692899,0,0,0,0,0.880586,0,0,0,0,0.700513,0.823513,0,0,0,0,0,0.513685,0.802896,0.699883
S.Pa.int._left.surface_native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S.Pa.int._right.surface_native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S.Pa.sup._left.surface_native,0,0,0,0,0,0,0,0,0,0,0,0.662141,0,0,0,0,0,0,0,0,0,0,0.307064,0.740711,0,0.935448,0,0,0.973157,0,0,0.755845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.988072,0,0,0,0.881,0,0.735554,0,0,0,0.865901,0,0,0,0,0,0,0.85862,0.341921,0,0,0,0,0,0,0.313008,0,0,0,0,0,0,0,0,0.948715,0.97152,0.98,0,0,0,0,0,0,0.920222,0,0,0,0,0,0,0,0.98882,0,0,0,0,0,0,0,0.638316,0.580678,0,0,0,0.993839,0.699645,0.972259,0,0,0,0,0,0,0,0.856113
S.Pa.sup._right.surface_native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S.Pa.t._left.surface_native,0,0,0,0.907277,0,0,0,0.913949,0,0,0.912554,0.9867,0,0,0,0,0,0,0,0,0,0,0.984134,0.970897,0,0,0,0,0.98322,0,0,0.909578,0,0.823,0,0,0.982503,0.752199,0.933595,0,0.93253,0,0.686234,0,0,0,0,0,0.989963,0,0,0,0.989829,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0.870313,0.872343,0,0,0,0,0,0.971798,0,0,0,0.993568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.676565,0,0,0.991455,0.983929,0.913476,0,0,0,0,0,0,0.602407,0,0.590765,0,0.773503,0,0,0,0.98,0,0.971758,0,0
S.Pa.t._right.surface_native,0,0,0,0,0,0,0,0,0,0,0.990919,0.841599,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0.537419,0,0.904219,0.794982,0,0,0,0,0,0,0,0,0.995669,0.5572,0,0,0.867589,0,0,0,0,0,0,0.793465,0,0,0,0,0,0.871793,0,0,0,0,0.993372,0,0,0,0,0,0.999972,0,0,0,0,0,0.823927,0,0.925647,0,0,0,0,0,0,0,0.360233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.983745,0,0,0.586664,0.985037,0,0,0,0,0,0,0,0,0.712405,0,0.629491,0,0,0,0.999974,0,0,0.829442,0
S.Pe.C.inf._left.surface_native,0,0,0,0.866714,0,0,0,0.997052,0,0,0,0,0,0,0,0,0,0.854676,0,0,0,0,0.993152,0.94662,0,0,0,0,0.170333,0,0,0,0,0,0,0,0,0.830956,0.786848,0,0,0,0.678022,0.900687,0,0.799502,0,0,0,0,0,0,0.708437,0,0.985197,0,0,0,0.91737,0.762925,0,0,0,0,0,0,0,0,0,0,0,0,0.964263,0,0,0,0,0.791073,0,0,0,0.996839,0,0.624077,0,0,0,0.920222,0,0,0,0,0,0,0,0,0,0,0,0.916231,0,0.987777,0.0876966,0.974974,0,0,0,0.98,0,0,0.1098,0,0.625067,0,0,0,0,0,0.568336,0,0.863764,0.821854,0.614907
S.Pe.C.inf._right.surface_native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S.Pe.C.inter._left.surface_native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S.Pe.C.inter._right.surface_native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S.Pe.C.marginal._left.surface_native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S.Pe.C.marginal._right.surface_native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S.Pe.C.median._left.surface_native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S.Pe.C.median._right.surface_native,0,0,0,0.860403,0,0,0,0.929448,0,0,0.98,0,0,0,0,0,0,0.971404,0,0,0,0,0.922628,0,0.950151,0.693053,0,0.896464,0.975512,0,0,0.813572,0,0,0,0,0.998265,0.746293,0,0,0,0.899554,0.981893,0.976756,0,0.838112,0,0,0,0,0,0,0.99948,0,0.601335,0,0,0,0.798432,0.869897,0,0,0,0,0,0,0.58578,0,0,0,0,0,0,0.880048,0,0,0,0,0,0,0,0.131788,0,0.929167,0,0,0,0,0,0.676565,0,0,0,0,0,0,0,0,0,0,0,0,0,0.792668,0,0,0,0.26743,0.315122,0,0,0,0,0,0,0,0,0,0.976317,0,0,0.963618,0.764758
S.Pe.C.sup._left.surface_native,0,0,0,0,0,0.164106,0,0,0,0,0.39627,0,0,0,0,0,0,0.981819,0,0,0,0,0.949643,0.88784,0,0.542516,0.760098,0,0,0,0,0.978971,0,0.941572,0,0,0.982856,0,0.825748,0,0,0,0.868742,0,0,0.855296,0,0,0,0,0,0,0.999955,0.709963,0.989397,0,0,0,0,0.785306,0,0,0,0,0,0.879049,0,0.750213,0,0,0,0,0,0,0,0,0,0,0,0,0,0.990152,0,0.975026,0,0,0,0.98882,0,0,0.983745,0.916231,0,0,0,0,0,0,0,0,0,0,0,0.480851,0,0,0,0.976123,0,0,0.97839,0,0,0.89936,0.50048,0,0,0,0,0,0.893565,0,0
S.Pe.C.sup._right.surface_native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S.Po.C.sup._left.surface_native,0,0,0,0.999999,0,0.738767,0,0,0,0,0,0.988882,0,0,0,0,0,0.835323,0,0,0,0,0,0.852553,0,0,0.979288,0,0.966723,0,0,0.821853,0,0.963309,0,0,0.988784,0.470971,0.921762,0,0.981808,0.133352,0.118393,0,0,0,0,0,0.965585,0,0,0,0.844202,0,0.425091,0,0,0,0.98,0.552049,0,0,0,0,0,0.98,0,1,0,0,0,0,0.982673,0.983689,0,0,0,0,0,0,0,0.757233,0,0.782481,0.7576,0,0,0,0,0.991455,0,0.987777,0,0,0,0,0,0,0,0,0,0,0.577373,0,0,0,0,0.820509,0,0,0,0,0.825192,0.393109,0.485129,0,0,0,0.948835,0,0.932288,0.964277,0.945601
S.Po.C.sup._right.surface_native,0,0,0,0,0,1,0,0.834784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.983365,0,0.891199,0.806733,0.828024,0,0,0.905407,0,0,0,0,0.93226,0.909795,0,0,0.948694,0.843657,0.920944,0.870236,0,0.731193,0,0,0,0,0,0,0,0.804066,0.608075,0,0,0,0.985745,0,0,0,0,0,0,0,0.784737,0,0,0,0,0.920906,0,0,0,0,0,0,0,0,0,0.892408,0,0,0,0,0,0,0,0.983929,0.586664,0.0876966,0,0,0,0,0,0,0,0,0,0.577373,0,0,0,0,0,0.662096,0.85304,0,0,0,0,0,0,0,0,0,0,0,0,0.985234,0.977378
S.R.inf._left.surface_native,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0.997099,0,0,0,0,0,0.868751,0.999996,0,0,0.827847,0.988651,0,0,0,0,0.962048,0,0,0,0.99811,0.990089,0,0,0,0.720297,0,0,0,0,0,0.509724,0,0,0,0.953765,0.792646,0.991289,0,0,0,0,0.935322,0,0,0,0,0,0,0.837877,0.936784,0,0,0,0,0,0,0,0,0,0.762887,0,0,0,0,0,0.723058,0.692899,0,0,0,0,0.913476,0.985037,0.974974,0,0,0,0,0,0,0.792668,0.480851,0,0,0,0,0,0,0,0.64663,0.962788,0,0.990051,0,0.827057,0.978833,0,0,0,0,0.975679,0,0,0.848251,0.852062
S.R.inf._right.surface_native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S.Rh._left.surface_native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S.Rh._right.surface_native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S.T.i.ant._left.surface_native,0,0,0,0.809168,0,0,0,0,0,0,0.856387,0,0,0,0,0,0,0.994856,0,0,0,0,0,0.975231,0.991547,0.99551,0.991341,0.949331,0,0,0,0.993566,0,0,0,0,0,0,0,0,0.953502,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.962397,0,0,0,0,0,0,0,0.905109,0,0,0,0,0.676686,0.994712,0,0,0,0.749851,0,0,0,0.716569,0.632587,0.977879,0,0,0,0.638316,0,0,0,0.98,0,0,0,0,0,0,0.26743,0.976123,0,0.820509,0.662096,0.64663,0,0,0,0,0,0,0.751059,0,0,0.394853,0.988539,0,0,0,0.968819,0,0,0.747365,0.992851
S.T.i.ant._right.surface_native,0,0,0,0,0,0.105063,0,0.457865,0,0,0,0.967235,0,0,0,0,0,0.814787,0,0,0,0,0,0,0.642785,0.959034,0.89713,0,0,0,0,0,0,0,0,0,0.991669,0.995538,0.842261,0,0,0,0,0.981394,0,0,0,0,0,0,0,0,0.576157,0.978777,0,0,0,0,0.985528,0.858511,0,0,0,0,0,0.772707,0,0,0,0,0,0.642054,0,0,0,0,0,0,0,0,0,0.905525,0,0,0.880586,0,0,0.580678,0,0,0,0,0,0,0,0,0,0,0.315122,0,0,0,0.85304,0.962788,0,0,0,0,0,0,0,0,0.973073,0,0,0,0,0,0,0,0.793266,0,0
S.T.i.post._left.surface_native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S.T.i.post._right.surface_native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.935124,0,0.873374,0.98,0.105843,0.979703,0.981484,0,0,1,0,0,0,0,0,0,0.715699,0,0.983587,0,0.840016,0.326073,0,0.854771,0,0,0,0,0,0,0.416125,0.636335,0,0,0,0,0,0.914585,0,0,0,0,0,0,0,0.631898,0,0,0,0,0,0.992725,0,0,0,0.963021,0,0,0,0.999155,0.960593,0.0540847,0,0,0,0,0,0.602407,0,0.1098,0,0,0,0,0,0,0,0.97839,0,0,0,0.990051,0,0,0,0.751059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S.T.pol._left.surface_native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S.T.pol._right.surface_native,0,0,0,0,0,0.480517,0,0,0,0,0,0.797791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.838941,0.907975,0,0,0,0.776924,0,0.98464,0,0,0.898692,0,0,0,0,0.965756,0,0,0,0.541049,0,0,0.96186,0,0,0,0,0,0,0,0,0,0,0.742916,0,0,0,0,0,0.98,0,0,0,0,0,0.971611,0.977363,0,0,0,0,0.0731889,0,0,0,0.899089,0,0.98,0,0,0,0.993839,0,0.590765,0.712405,0.625067,0,0,0,0,0,0,0,0,0,0.825192,0,0.827057,0,0,0,0,0.973073,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S.T.s._left.surface_native,0,0,0,0,0,0.767695,0,0,0,0,0,0.925596,0,0,0,0,0,0,0,0,0,0,0,0.474971,0,0.818948,0.785976,0.418084,0,0,0,0.98,0,0.796301,0,0,0,0,0,0,0.789258,0,0,0,0,0,0,0,0,0,0,0,0,0.888781,0.465738,0,0,0,0.972555,0,0,0,0,0,0,0,0,0.867418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.896934,0.976815,0.700513,0,0,0.699645,0,0,0,0,0,0,0,0,0,0,0,0.89936,0,0.393109,0,0.978833,0,0,0,0.394853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S.T.s._right.surface_native,0,0,0,0,0,0.991841,0,0.983372,0,0,0,0.893579,0,0,0,0,0,0.974985,0,0,0,0,0,0,0.903044,0.821444,0.955326,0.520219,0.599287,0,0,0,0,0,0,0,0,0.623588,0,0,0.86646,0,0.985639,0.592534,0,0.643756,0,0,0,0,0,0,0,0,0,0,0,0,0.985267,0.906159,0,0,0,0,0,0,0.982042,0,0,0,0,0.990612,0,0,0,0,0,0.972326,0,0,0,0.748748,0.884355,0,0.823513,0,0,0.972259,0,0.773503,0.629491,0,0,0,0,0,0,0,0,0.50048,0,0.485129,0,0,0,0,0,0.988539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S.T.s.ter.asc.ant._left.surface_native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S.T.s.ter.asc.ant._right.surface_native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S.T.s.ter.asc.post._left.surface_native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S.T.s.ter.asc.post._right.surface_native,0,0,0,0.972982,0,0.865553,0,0,0,0,0.72708,0,0,0,0,0,0,0,0,0,0,0,0,0,0.949412,0.981844,0.950569,0.712519,0,0,0,0,0,0.975033,0,0,0,0.867065,0.114454,0,0.606065,0,0.920176,0.772538,0,0,0,0,0.982328,0,0,0,0,0.930275,0,0,0,0,0.992579,0,0,0,0,0,0,0.40733,0,0.525738,0,0,0,0,0.816658,0,0,0,0,0,0,0,0,0,0,0.811877,0,0,0,0,0,0.98,0.999974,0.568336,0,0,0,0,0,0,0.976317,0,0,0.948835,0,0.975679,0,0,0,0.968819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S.p.C._left.surface_native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S.p.C._right.surface_native,0,0,0,0.666397,0,0,0,0.717442,0,0,0,0.984392,0,0,0,0,0,0.367007,0,0,0,0,0.983906,0.899495,0,0.693126,0,0.98,0.805927,0,0,0.799679,0,0.98169,0,0,0,0,0.748781,0,0,0.88686,0.804219,0,0,0,0,0,0.982484,0,0,0,0,0.899259,0.986885,0,0,0,0,0,0,0,0,0,0,0.99999,0.96085,0,0,0,0,0.049778,0,0.982764,0,0,0,0.98875,0,0,0,0.990286,0,0,0.513685,0,0,0,0,0.971758,0,0.863764,0,0,0,0,0,0,0,0.893565,0,0.932288,0,0,0,0,0,0,0.793266,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S.s.P._left.surface_native,0,0,0,0,0,0.987308,0,0.965424,0,0,0,0.644735,0,0,0,0,0,0,0,0,0,0,0.989584,0,0,0.984985,0,0,0,0,0,0.989658,0,0.997191,0,0,0,0.93762,0,0,0.96721,0.814471,0.982129,0.0540067,0,0.915101,0,0,0,0,0,0,0,0,0.813528,0,0,0,0.991046,0.910785,0,0,0,0,0,0.65584,0.180898,0,0,0,0,0.99743,0.600823,0.824825,0,0,0,0,0,0,0,0,0.989361,0,0.802896,0,0,0,0,0,0.829442,0.821854,0,0,0,0,0,0,0.963618,0,0,0.964277,0.985234,0.848251,0,0,0,0.747365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S.s.P._right.surface_native,0,0,0,0,0,0.98,0,0.82081,0,0,0,0.891002,0,0,0,0,0,0,0,0,0,0,0.98,0.972782,0.813109,0,0,0.957963,0,0,0,0.754004,0,0.981411,0,0,0.987679,0,0.878322,0,0.992603,0.983461,0,0,0,0,0,0,0,0,0,0,0,0,0.931368,0,0,0,0.565437,0,0,0,0,0,0,0,0,0.990161,0,0,0,0.296249,0,0,0,0,0,0.617594,0,0,0,0,0.827143,0,0.699883,0,0,0.856113,0,0,0,0.614907,0,0,0,0,0,0,0.764758,0,0,0.945601,0.977378,0.852062,0,0,0,0.992851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
